area,square_ft,price,bedrooms,pricepersq_ft,status,bathrooms,age_of_property
Mogappair,612,5100000,2,8333,unfurnished,1,0
Koyambedu,1002,9500000,2,9481,unfurnished,1,0
Koyambedu,610,5200000,2,8524,semifurnished,1,0
Koyambedu,974,8766000,2,9000,unfurnished,2,0
Koyambedu,941,5100000,2,5419,semifurnished,2,8
maduravoyil,605,6000000,2,9917,unfurnished,2,0
Koyambedu,951,8844000,2,9300,unfurnished,2,1
Koyambedu,1507,9793000,3,6499,unfurnished,3,2
Koyambedu,1178,10800000,2,9168,semifurnished,2,0
Koyambedu,756,6800000,2,8994,unfurnished,2,0
Koyambedu,974,8800000,2,9034,unfurnished,2,0
Koyambedu,1373,8923000,3,6499,unfurnished,3,2
